date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
06-Oct-06,B,no,in,20,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0.301029996,0.301029996,0,0,0,-1,-0.166666667,,,,,,,
06-Oct-06,C,no,in,21,2,4,6,6,9,0,0,0,1,0,0,0,0,2.777777778,0.477121255,0.698970004,1,0,0.167448079,-1,-0.142857143,,,,,,,
06-Oct-06,D,no,in,22,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0.301029996,0,0.301029996,0,0,0,0,,,,,,,
06-Oct-06,E,no,in,23,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.477121255,0,0,0,0,,,,,,,
06-Oct-06,F,no,in,24,1,4,3,3,1,0.18,0,0,0,0.5,0,0,0.5,0,0.301029996,0.698970004,0.301029996,0.070769737,0,1,0.5,,,,,,,
06-Oct-06,A,no,out,25,0,0,,,5,0.18,0,0,0,0.5,0,0,0.5,0,0,0,0.77815125,0.070769737,0,,,,,,,,,
06-Oct-06,B,no,out,26,0,0,,,0,28,8,0,0,77.77777778,22.22222222,0,100,0,0,0,0,1.570796327,0,,,,,,,,,
06-Oct-06,C,no,out,27,0,1,,,2,20,3,6,0,55.55555556,8.333333333,16.66666667,80.55555556,0,0,0.301029996,0.477121255,1.114129942,0,,,,,,,,,
06-Oct-06,D,no,out,28,0,2,,,0,4,0.18,0,0,11.11111111,0.5,0,11.61111111,0,0,0.477121255,0,0.34771538,0,,,,,,,,,
06-Oct-06,E,no,out,29,1,1,,,1,10,0,0,0,27.77777778,0,0,27.77777778,0,0.301029996,0.301029996,0.301029996,0.555121168,0,,,,,,,,,
06-Oct-06,F,no,out,30,0,0,,,0,29,5,0,0,80.55555556,13.88888889,0,94.44444444,0,0,0,0,1.332855202,0,,,,,,,,,
